trial,score,duration_sec,lgbm_num_leaves,lgbm_learning_rate,lgbm_feature_fraction,lgbm_bagging_fraction,lgbm_n_estimators,lgbm_residual_threshold_sigma,stl_residual_threshold_sigma,iforest_contamination,iforest_n_estimators,w_stl_raw,w_lgbm_raw,w_iforest_raw,ensemble_threshold,dbscan_eps_days,cascade_rate,drift_rate,ensemble_f1,ensemble_fp,ensemble_tp,lgbm_f1,spike_rate,stl_f1,w_iforest,w_lgbm,w_stl
398,0.4762,35.5,28,0.04472307209137759,0.5009651611523983,0.9910873697852238,1000,1.7322508437549935,1.74587221727604,0.0036790052569854875,450,0.7697878563936863,0.551164334741031,0.10101310335335202,0.08069462105070259,2,0.5263,0.4262,0.4762,184,165,0.3528,0.875,0.2059,0.071,0.3876,0.5414
394,0.4748,61.8,39,0.043490249136092674,0.5263719383655625,0.9914856634379855,1000,1.743512518807314,1.8081798709546597,0.003794884945690358,450,0.7451560988343451,0.583214868805827,0.10081715148877257,0.08027321021632666,2,0.5,0.4221,0.4807,168,162,0.3472,0.875,0.2105,0.0705,0.4081,0.5214
400,0.4727,34.8,28,0.04399741772562535,0.5042647348710385,0.9920729982238502,1000,1.7203985072179533,1.7273863086913486,0.0036673066934321203,450,0.7629770050964063,0.5491016223048171,0.10040119448552765,0.07978241798013928,2,0.5263,0.4221,0.4721,190,165,0.3622,0.9167,0.2053,0.0711,0.3888,0.5402
167,0.4727,33.7,83,0.04272579963389929,0.5954073785610594,0.9789622984045218,1400,1.908834912602304,1.7805071155946288,0.014204440863991027,400,0.8457040671331632,0.4458717135121466,0.11522172670818434,0.09255051885757422,3,0.5,0.4098,0.4804,159,159,0.3404,0.875,0.2088,0.0819,0.3169,0.6012
189,0.4723,32.1,87,0.04173927830450538,0.6604405295339836,0.9711437733417551,1300,1.9271800388945994,1.691827216329352,0.015241609395349085,400,0.8652722922812516,0.6968550134617543,0.10045557626219068,0.08209322328264068,3,0.4474,0.4016,0.4928,124,153,0.3427,0.875,0.2031,0.0604,0.4191,0.5204
399,0.4719,35.0,28,0.045007115768607886,0.5041143562448552,0.9928110420934866,1000,1.7459207842450504,1.7702656470459859,0.0037249925885019597,450,0.7591365238574506,0.5619458778045232,0.10068232291476101,0.07874684055340009,2,0.5263,0.4303,0.4691,201,167,0.3511,0.9167,0.2083,0.0708,0.3952,0.5339
472,0.4706,7.5,28,0.04301254357352603,0.510978567479556,0.9658370113852804,1000,1.6919073076188413,1.616979174794743,0.0034942749455479207,350,0.7825293176672385,0.6067425906108467,0.10071023980470231,0.08331281021505849,2,0.4605,0.4057,0.4867,138,155,0.3539,0.875,0.1963,0.0676,0.4072,0.5252
171,0.4697,29.9,81,0.04430346913708533,0.5832891681841549,0.9994952879180923,1000,2.004974975486567,1.8584235075879272,0.01273396518342413,400,0.8649901855695942,0.622272190947898,0.11131132298463527,0.0865103975877024,3,0.4605,0.3934,0.488,127,152,0.3755,0.875,0.2154,0.0696,0.3893,0.5411
411,0.4696,33.8,25,0.04587448366616774,0.5166298662526513,0.9860757550886833,1000,1.7253731179507974,1.744184956004331,0.003511601964784305,500,0.7364732670044745,0.5388432662735128,0.10026251210316035,0.08055187724908391,2,0.5132,0.4221,0.4704,186,163,0.3636,0.875,0.2058,0.0729,0.3917,0.5354
395,0.4688,37.0,33,0.04341763135555286,0.5126981709825873,0.9932006098936269,1000,1.7297932662837134,1.8096438884341077,0.003967545166542232,450,0.7817015858055107,0.5932434146732827,0.10108284143350445,0.0788141625953546,2,0.5263,0.4139,0.4682,186,162,0.3662,0.875,0.2109,0.0685,0.4019,0.5296
170,0.4681,33.5,77,0.037921320367065706,0.5832928455315224,0.9909917270612033,1000,2.0052107603131826,1.85786243216468,0.0127908646474137,400,0.8668966627775314,0.5726330541902525,0.10097828109002242,0.08883040922678734,3,0.4605,0.377,0.4893,113,148,0.3419,0.875,0.2154,0.0655,0.3717,0.5627
201,0.4679,37.9,96,0.04441887137556483,0.6375863746828315,0.9747515057968967,900,1.9296694436562205,1.8817674843099785,0.015978459342453472,450,0.8690496175609237,0.7837406528385744,0.13089059585228768,0.07780026069080069,3,0.4737,0.4344,0.4738,181,163,0.3535,0.875,0.2176,0.0734,0.4394,0.4872
378,0.4678,52.4,70,0.034316465737177886,0.540434906706694,0.9996156324271154,1200,1.7079880853277123,2.5545113447591743,0.01114964314289172,500,0.8272489809090059,0.6042790908963329,0.11181862691271408,0.0798551017472337,2,0.5132,0.4221,0.4679,193,164,0.3553,0.9167,0.2855,0.0725,0.3915,0.536
241,0.4676,30.2,69,0.0430435005248663,0.5355431095435543,0.9702189217374251,300,1.9707550217850212,1.9136874921447298,0.011781173537479818,450,0.8847316600331635,0.5703244636220323,0.12829057328586127,0.08769237072470172,3,0.4868,0.418,0.4741,171,160,0.3455,0.875,0.2202,0.081,0.3602,0.5588
461,0.4674,8.2,22,0.05214274508698887,0.5097184473506021,0.978539001198415,1000,1.7091955778248047,1.7669286812195886,0.003866711136956679,350,0.7841216020184026,0.5538532830073882,0.118357077597331,0.08982817257573567,2,0.4737,0.4057,0.4793,151,156,0.3558,0.875,0.208,0.0813,0.3803,0.5384
397,0.4672,35.7,31,0.043559941362058,0.5076253564055033,0.9909201845280252,1000,1.7607817439578604,1.7531893954374376,0.0036747129189981117,450,0.7673664253077724,0.5692685213561,0.10050351087379489,0.07890539975064637,2,0.5132,0.4221,0.467,191,163,0.36,0.875,0.2066,0.0699,0.3961,0.534
491,0.4665,7.6,30,0.04044292052944414,0.5232118514016282,0.9906035948367737,1100,1.6600433334050044,1.6725785197033443,0.003378393246301873,450,0.8179249192256007,0.49843785697305537,0.10003888587179023,0.09255524036989572,2,0.4605,0.3811,0.4861,120,149,0.3616,0.875,0.2011,0.0706,0.3519,0.5775
403,0.4661,34.5,27,0.041239145653066384,0.5152337872829452,0.991747362517901,1000,1.6964608116597417,1.75567241912917,0.003954033753060271,450,0.7240017626086922,0.5739790200672221,0.10142568781866536,0.07901253736574318,2,0.5,0.4303,0.4666,195,164,0.3498,0.875,0.2067,0.0725,0.4102,0.5174
362,0.4658,13.3,72,0.037945368947577725,0.5513302125546936,0.985293489731872,1300,1.686097954605194,2.527721273667373,0.011707897921445961,450,0.8262112566266688,0.6368873788508826,0.10008848137544334,0.07248032892665278,3,0.5526,0.4385,0.453,240,171,0.3467,0.9167,0.2843,0.064,0.4074,0.5285
423,0.4657,35.7,29,0.03485113390356432,0.5107096440375607,0.9837972679649615,1100,1.779097403981818,1.7795051197686382,0.0031726435297225746,450,0.7746030909932955,0.5523852388890033,0.11485917771134971,0.08199509541573892,2,0.5132,0.4385,0.4613,213,167,0.3494,0.875,0.2088,0.0797,0.3831,0.5372
422,0.4653,33.6,29,0.0358298011364804,0.5145307438195191,0.9792850564958371,1100,1.7742861796995857,1.7797446505970707,0.0032628441889736674,450,0.7747681093555844,0.5516585005160605,0.10058824629224555,0.08443099641603757,2,0.4737,0.4057,0.4763,155,156,0.3615,0.875,0.2088,0.0705,0.3866,0.5429
430,0.4632,25.6,31,0.043482718736178275,0.5098104794248618,0.9758737129591621,1000,1.7843332728312218,1.8631035590488008,0.003383053643565311,450,0.7528801494410692,0.5872891574507342,0.11458973804902173,0.08505801625659204,2,0.4605,0.4139,0.4743,161,157,0.3477,0.875,0.2156,0.0788,0.4037,0.5175
455,0.4626,27.6,22,0.04542393975208238,0.510412373570077,0.9930300203583284,1000,1.6105605052374818,1.756819245103319,0.0037796280433877415,450,0.8060241426238235,0.5681233159963905,0.11995807755114307,0.08873922578570784,2,0.4605,0.4016,0.476,149,154,0.358,0.875,0.2067,0.0803,0.3802,0.5395
431,0.4615,24.9,34,0.04545453256762845,0.500830226455837,0.9747466391567783,1000,1.7898091471374162,1.856912667253345,0.0033782021041222567,450,0.7308793527704809,0.5848902034582151,0.10098997972623047,0.07564481184474633,2,0.5132,0.4385,0.4553,226,168,0.3486,0.9167,0.2152,0.0713,0.4128,0.5159
242,0.4615,28.4,68,0.04699761025091871,0.6572110150623441,0.9714396975995611,300,1.9768685308720044,1.9080986174711732,0.012509797447565304,300,0.8887327553155724,0.5710305190639662,0.12610590005408873,0.0963922283823322,3,0.4079,0.3934,0.4876,112,147,0.3424,0.8333,0.2194,0.0795,0.3601,0.5604
143,0.4614,25.2,47,0.08695926288918428,0.5158348220489863,0.9990108067200532,300,1.9376601162459024,2.5857033612458133,0.012981510939476644,350,0.9215129979696965,0.41321519703690934,0.10158307570397196,0.09361477092278186,3,0.5132,0.377,0.4684,153,152,0.3467,0.875,0.2882,0.0707,0.2877,0.6416
464,0.4612,7.7,22,0.04584364015921136,0.5000183562914532,0.9859248282246602,1000,1.8295699661299694,1.816721320555531,0.0033089021902994683,500,0.7651612901671841,0.6036724503314834,0.11629579790877047,0.0832973129332039,2,0.4868,0.4098,0.4668,175,158,0.3504,0.875,0.212,0.0783,0.4065,0.5152
392,0.4603,39.1,39,0.04429570683961226,0.5212599245924006,0.9918933253773383,1100,1.71968822017093,1.8181244497555393,0.004389824142212028,450,0.7708166784579787,0.5885655288155137,0.12011894223277157,0.08105263197052562,2,0.5,0.4467,0.4547,227,168,0.3571,0.875,0.2122,0.0812,0.3978,0.521
149,0.46,25.5,46,0.08353810329505837,0.6558531433950257,0.9655824053508958,900,1.6793880970697899,2.6649166335469574,0.013695459747741097,450,0.8790965773042665,0.51182549673123,0.12975403204508737,0.0965232201561424,3,0.4211,0.4016,0.4809,133,151,0.354,0.875,0.2942,0.0853,0.3366,0.5781
391,0.4598,33.4,39,0.03841407158808285,0.5278391980010558,0.9919330788448706,1000,1.7333621520592142,1.8623628939942227,0.003804602854489833,450,0.7789152116643809,0.5957713237777509,0.11449607280006609,0.08914239608070429,2,0.4211,0.3975,0.4814,126,149,0.3535,0.8333,0.2156,0.0769,0.4001,0.523
85,0.4595,26.1,43,0.05807228629352727,0.5391784418331393,0.9435473183171622,1100,1.6556754080886527,2.6762818770365833,0.009448276998112176,450,0.9460967600160031,0.5794059637023312,0.10089434367270575,0.0914497377483359,3,0.4211,0.3648,0.488,96,142,0.3369,0.875,0.2966,0.062,0.3563,0.5817
433,0.4593,30.4,34,0.04581947822245318,0.5069479452959433,0.9999861654536424,1000,1.810959731220119,1.8554812594302519,0.003600279468320157,450,0.7402512022113045,0.5970258002889309,0.10083791764264365,0.07284198264284236,2,0.5526,0.4508,0.4411,271,174,0.3648,0.9167,0.2148,0.0701,0.4151,0.5147
494,0.4593,8.2,31,0.034540673678960326,0.5443797084541716,0.9898852286544495,1100,1.597731937792751,1.688680467822883,0.0034378760753742406,250,0.795091569650417,0.5070012142106044,0.11729121674148495,0.09219953886352843,2,0.4605,0.3975,0.4722,151,153,0.3665,0.875,0.2029,0.0826,0.3572,0.5602
249,0.458,42.1,86,0.0416166000912409,0.5279272508585646,0.9904978189616407,900,2.0326381249425935,1.7816115878400278,0.011497902971546358,450,0.9279436470132515,0.7549536973886725,0.1667366317262482,0.08750693566251047,3,0.4474,0.4344,0.4653,187,161,0.3451,0.875,0.2088,0.0901,0.4082,0.5017
404,0.4578,34.9,29,0.041076207476540554,0.5124458989317906,0.9993317446035088,1000,1.709247131253874,1.7517545964584504,0.004204486556454456,450,0.7414880817489424,0.5734282056009576,0.10046487125660437,0.07224047857461788,2,0.5526,0.4631,0.4363,294,178,0.3692,0.9583,0.2066,0.071,0.4051,0.5239
79,0.4576,27.1,45,0.03909129688004723,0.5219815297663144,0.9582667808950901,300,1.6335224592049444,2.6275089639792673,0.012873845829022871,500,0.9406362222608148,0.46538336586795565,0.10312029809106224,0.08892006095558712,3,0.5132,0.377,0.4629,164,153,0.3446,0.9167,0.2918,0.0683,0.3084,0.6233
134,0.4575,30.7,75,0.0743492935427662,0.6096830229694647,0.9585489672741581,400,1.7472256958880819,2.668452465613742,0.0124422358378586,300,0.8857084034356015,0.3957117577684828,0.13098307321179678,0.10449235251514948,3,0.4342,0.3934,0.4762,136,150,0.3421,0.875,0.2945,0.0927,0.2802,0.6271
474,0.4572,7.2,28,0.036299828893808166,0.5334772910817083,0.9647788602821487,1000,1.6943258416034632,1.6147604322832914,0.006691686849621755,350,0.8163970721799423,0.5431785431374638,0.10014155842541617,0.07401372565261645,2,0.5526,0.4508,0.438,280,175,0.3566,0.9583,0.1962,0.0686,0.3721,0.5593
417,0.4571,33.8,22,0.04093085055087748,0.5122460101993632,0.9833864111377806,1000,1.7566563735334213,1.8091733216992436,0.004162199254621489,500,0.7637576415241647,0.559916397277791,0.12161370616327612,0.08149188819588382,2,0.5263,0.4426,0.4453,246,169,0.3535,0.875,0.2108,0.0841,0.3874,0.5284
449,0.4569,39.4,38,0.040055753600088555,0.5222268202486283,0.9819617619646284,1000,1.7364956235769855,1.5924241372784615,0.0040335824132123515,450,0.8018423442502528,0.5954859786950885,0.11671845056920643,0.07822780992307413,2,0.5263,0.4467,0.4442,255,171,0.3533,0.9167,0.1938,0.0771,0.3933,0.5296
465,0.4568,13.0,19,0.04777131737443728,0.5000500364040767,0.9757611903841594,1000,1.8510554563976758,1.7687418628419378,0.0031596758180571136,500,0.7432527270371232,0.6162919993185936,0.11428867253181248,0.08913087859713976,2,0.3947,0.3975,0.4828,118,147,0.3499,0.8333,0.208,0.0775,0.4182,0.5043
247,0.4564,29.7,71,0.04713540844224164,0.5339708137234469,0.9752648660665105,900,2.0341755309359217,1.7867191755707341,0.012323315611693284,450,0.9349376854928196,0.7764043658644878,0.16673439972538565,0.0857426899610343,3,0.4605,0.4344,0.4602,198,162,0.3495,0.875,0.2098,0.0888,0.4134,0.4978
486,0.4557,7.3,27,0.04751401438329145,0.5000055687928906,0.9751272186291279,1000,1.7867416403833944,1.716235773956278,0.003948740362959303,450,0.7987394584203242,0.595515999004576,0.1287987771937121,0.08176426216485551,1,0.5132,0.4467,0.4453,246,169,0.3605,0.875,0.205,0.0846,0.391,0.5244
267,0.4555,39.6,73,0.08506757018631365,0.6289796172171548,0.984690521905411,1500,1.86230072808841,2.5872752215171126,0.012191036312015752,450,0.923083749175647,0.34293730874703204,0.11712742110959007,0.10140974722127613,3,0.5,0.3648,0.4654,144,148,0.3555,0.875,0.2884,0.0847,0.2479,0.6674
410,0.4547,35.0,23,0.04102840805324296,0.5002142725637144,0.9912803493551998,1000,1.6332805598854159,1.7696223292664897,0.00444235854626637,450,0.7711365149198686,0.5757675827747236,0.10055944312196592,0.0719072431355771,2,0.5526,0.459,0.4328,297,177,0.3636,0.9583,0.2083,0.0695,0.3978,0.5328
255,0.4545,32.7,82,0.07797331051882084,0.6064077584903004,0.9730993417667552,1300,2.00849577659084,1.9486379060010226,0.012890276826989126,450,0.9185515988519329,0.8435266320610152,0.15383281377261857,0.09342440418553152,3,0.3553,0.3975,0.488,96,142,0.3525,0.75,0.2214,0.0803,0.4403,0.4794
103,0.4539,11.2,72,0.08231168004421775,0.9002547779465061,0.8862046983558877,1400,2.009649009272708,1.9069358845547468,0.015549364210702422,450,0.9576381867287704,0.3458324658948852,0.18834946645096712,0.11333020692843788,3,0.4737,0.4426,0.4521,221,165,0.3504,0.875,0.2193,0.1263,0.2318,0.6419
156,0.4539,25.0,42,0.07893667080469258,0.5708201822005057,0.9553287248017536,300,1.7944275904897742,2.6828951148675433,0.01362654120263068,450,0.7868114395009808,0.357461570341416,0.11566964317009966,0.10772669981240289,3,0.4211,0.373,0.4783,111,143,0.3546,0.8333,0.2985,0.0918,0.2837,0.6245
367,0.4529,42.7,68,0.030526635939596057,0.5375987183645853,0.9999120421907784,1300,1.5499338764723105,2.550235845326812,0.011104824471756725,400,0.7803231676063223,0.6904995166313203,0.11419782624955538,0.07196625248166659,3,0.5263,0.4467,0.4385,265,171,0.3471,0.9167,0.2852,0.072,0.4356,0.4923
182,0.4527,31.6,73,0.04712793033458461,0.6341138167361644,0.9736557306990897,1200,1.9158113066191729,1.8009972882162337,0.012661443471854505,400,0.874781495332035,0.6401414199883517,0.1665623980669088,0.09145677525049671,3,0.4737,0.4344,0.4521,214,163,0.3486,0.875,0.2108,0.0991,0.3807,0.5202
102,0.4522,18.0,73,0.08095765957009084,0.9510034622374253,0.9322426942587688,1300,1.927388966617742,1.5920145351753818,0.013841947749714832,450,0.970723582519381,0.34039491620114776,0.18812103761060003,0.11359102859151055,3,0.4605,0.4426,0.4524,217,164,0.3409,0.875,0.1938,0.1255,0.227,0.6475
196,0.452,41.6,99,0.04964073463478435,0.6518226530268282,0.9797677677168664,900,2.0382152461560454,1.8590129256930352,0.014088151644021022,400,0.8490559197630678,0.7587318620783716,0.1438137284512334,0.0888466441492481,3,0.3947,0.4016,0.4751,131,148,0.3412,0.8333,0.2154,0.0821,0.4332,0.4847
414,0.452,37.3,30,0.04331970174908327,0.5113168389131849,0.9861896739570627,1000,1.622454455558392,1.645653946112516,0.0031935331484017363,500,0.7170909686054903,0.5586311411378199,0.10007927296806657,0.07484104330523879,2,0.5526,0.4344,0.4342,269,170,0.3514,0.9167,0.1981,0.0727,0.406,0.5212
402,0.4499,35.4,37,0.04458063210173871,0.5050948520129241,0.9916377206318427,1000,1.6855447806868473,1.7183316801983481,0.0033997247926216096,450,0.7211065188298122,0.5434272431394434,0.1137349259563106,0.07736592407261571,2,0.5526,0.4549,0.4268,301,175,0.3508,0.9167,0.2053,0.0825,0.3943,0.5232
313,0.4497,10.3,43,0.03622866700658069,0.5355104138557806,0.9841859096757613,1400,2.022736336195922,1.8794350791398162,0.01198800953801177,450,0.8557141305088195,0.40962306710959884,0.1527487209955317,0.09963493326950197,3,0.4868,0.4344,0.445,229,164,0.3459,0.875,0.2171,0.1077,0.2889,0.6034
453,0.4483,27.4,31,0.04908176769231321,0.500227220957878,0.9912689671513029,1100,1.6857119589926997,1.8083809586458572,0.003098990166182632,450,0.7211824239129011,0.5805019127373644,0.1350599249970158,0.08613852142131663,2,0.4737,0.4426,0.4441,234,165,0.3604,0.875,0.2106,0.094,0.404,0.502
364,0.4482,21.4,72,0.037283472846382906,0.5375104741763341,0.9997818987955472,1300,1.5563748442166916,2.519539143054565,0.010660220337186227,400,0.8158715977632361,0.6570962052587214,0.11748669434713543,0.07075501779291098,3,0.5526,0.4754,0.42,337,181,0.3607,0.9583,0.2824,0.0739,0.4131,0.513
273,0.4479,32.6,80,0.09932747693269911,0.5614076171277539,0.9637694367863051,1400,1.8328773269342966,2.7381014707139024,0.012915602359281133,450,0.9025389161339966,0.3549974012118854,0.1720232237983786,0.11152749678778906,3,0.4342,0.4221,0.4564,187,157,0.3506,0.875,0.3025,0.1203,0.2483,0.6313
185,0.4478,29.4,88,0.04813348256421669,0.6425089793516361,0.9991377759534562,1100,1.9362048094430149,1.6997240401758245,0.015484841964523382,400,0.8908016551492586,0.6404179540218958,0.16164992204908973,0.09580663024906114,3,0.3947,0.4098,0.4673,148,150,0.3443,0.8333,0.2041,0.0955,0.3783,0.5262
383,0.4476,40.1,60,0.03355509139162301,0.5271185323508611,0.9805709106189076,900,1.7203569590696672,2.6547639522823627,0.011127049033763865,500,0.8591234019274766,0.5632206049936189,0.12805517536765557,0.07721979054121449,3,0.5526,0.4713,0.4201,333,180,0.3493,0.9583,0.295,0.0826,0.3633,0.5541
276,0.4475,33.0,78,0.10135336593766789,0.5784573609012225,0.9494629197254684,1400,1.883632680182786,2.745058967342636,0.012218506346031057,450,0.9004967763966545,0.3516580650617703,0.14246366433247906,0.1095424334944672,3,0.4079,0.3934,0.4676,141,148,0.3447,0.875,0.3039,0.1022,0.2522,0.6457
334,0.4472,9.5,76,0.056296959945197185,0.5321286628438631,0.9998635841190227,900,1.8546579659211015,1.7192074796762578,0.012522868844090072,450,0.9290740303302663,0.8586140097305945,0.14845890031072076,0.08643942981912434,3,0.3816,0.3893,0.4737,120,144,0.3556,0.8333,0.2054,0.0767,0.4435,0.4799
165,0.4454,28.5,77,0.07853511966296932,0.5606910457373842,0.9794089204096041,200,1.9282330495743918,2.4764773917514495,0.012499285334739247,450,0.8938435602182301,0.4581271652949895,0.11909734296644409,0.10313895414807805,3,0.3947,0.3648,0.4736,104,139,0.3426,0.8333,0.278,0.081,0.3114,0.6076
